Designator,Footprint,Quantity,Value,LCSC Part #
"C101, C102, C103, C104, C105, C106, C107, C108, C109, C110, C111, C112, C113, C114, C115, C116, C117, C118, C119, C120, C121, C122, C123, C124, C125, C126, C127",0603,27,100n,C14663
"D101, D102, D103, D104, D105, D106, D107, D108, D109, D110, D111, D112, D113, D114, D115, D116, D117, D118, D119, D120, D121, D122, D123, D124",LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm,24,WS2812B,C2843785
J101,PHD_02x04V-H,1,Conn_02x04_Odd_Even,-
"R101, R102, R103, R104, R105, R106, R107, R108",0603,8,220,C22962
R109,0603,1,10k,C25804
SWD101,PH_01x05V-H,1,SWD_Breakout_Minimal,-
"TP101, TP102",TestPoint_Pad_2.0x2.0mm,2,TestPoint,-
U101,04x7SegmentDispl,1,LDQ-M3604RI,-
U102,LQFP-32_7x7mm_P0.8mm,1,STM32G030K6Tx,C529331
U103,SOT-23-5,1,74LVC1G00,C434066
